mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__max_depth,param_clf__max_features,param_clf__max_leaf_nodes,param_clf__min_impurity_split,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__min_weight_fraction_leaf,param_clf__n_estimators,param_union__abstractPosTokLemSyn,param_union__abstractPosTokLemSyn__select_chi2__k,param_union__abstractWordCount,param_union__char_ngrams,param_union__keyword_vector,param_union__term_vector,param_union__titleWordCount,param_union__word_ngrams,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
3.4962042967478433,0.73629363377889,0.9226485148514851,0.9610125226163463,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,5000,,,,,,,34,0.9259259259259259,0.9572490706319703,0.9163568773234201,0.9619666048237476,0.9256505576208178,0.963821892393321,0.1719640346869285,0.038917826714734684,0.004446153013148562,0.0027668515344438037
3.7401070594787598,0.6818115711212158,0.9220297029702971,0.9607056070146882,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,5200,,,,,,,38,0.9222222222222223,0.9609665427509294,0.9219330855018587,0.9573283858998145,0.9219330855018587,0.963821892393321,0.18542736540959948,0.05688512627386049,0.0001363844666619221,0.002657376179509699
3.56811793645223,0.7093865871429443,0.9263613861386139,0.9613211624629575,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,5400,,,,,,,7,0.9296296296296296,0.9563197026022305,0.9237918215613383,0.9619666048237476,0.9256505576208178,0.9656771799628943,0.10794335405631655,0.063209159512279,0.0024363221604027686,0.0038473404250781093
3.6237085660298667,0.7034431298573812,0.9232673267326733,0.9607044575180529,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,5600,,,,,,,30,0.9222222222222223,0.9591078066914498,0.9275092936802974,0.961038961038961,0.9200743494423792,0.9619666048237476,0.10279565451206078,0.08368106546633242,0.0031224694669341408,0.0011908263641780832
3.452943483988444,0.7682642936706543,0.9220297029702971,0.9607056070146882,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,5800,,,,,,,38,0.9203703703703704,0.9609665427509294,0.9256505576208178,0.9582560296846011,0.9200743494423792,0.9628942486085343,0.1770792501711772,0.050661274891435945,0.0025608096304038266,0.001902513125739893
3.7180122534434,0.6912471453348795,0.9263613861386139,0.9613234614562284,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,6000,,,,,,,7,0.9277777777777778,0.9600371747211895,0.9237918215613383,0.9601113172541744,0.9275092936802974,0.963821892393321,0.14121092241384195,0.03828866818963658,0.0018185784241222696,0.00176691673815634
3.5695388317108154,0.7989599704742432,0.9263613861386139,0.9619441896393569,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,6200,,,,,,,7,0.9296296296296296,0.9637546468401487,0.9256505576208178,0.9582560296846011,0.9237918215613383,0.963821892393321,0.03755325391054058,0.03662935006390718,0.002436322160402769,0.0026080674045486354
3.52679713567098,0.7188576857248942,0.9245049504950495,0.961325760449499,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,6400,,,,,,,25,0.9222222222222223,0.9637546468401487,0.9256505576208178,0.9582560296846011,0.9256505576208178,0.9619666048237476,0.09202752011371668,0.052075156805147495,0.0016171301047051465,0.002290081336230213
3.6259570916493735,0.752352237701416,0.9238861386138614,0.961324036204546,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,6600,,,,,,,28,0.924074074074074,0.9609665427509294,0.9256505576208178,0.961038961038961,0.9219330855018587,0.9619666048237476,0.22361489015253322,0.03916655815172678,0.001522544394712126,0.00045532546959828845
3.6869309743245444,0.6366127332051595,0.9232673267326733,0.9622516799893326,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,6800,,,,,,,30,0.9222222222222223,0.9609665427509294,0.9200743494423792,0.9628942486085343,0.9275092936802974,0.9628942486085343,0.43351068682354343,0.012477176980453825,0.0031224694669341408,0.0009087292560303183
